,artists
158,"['Tommy Dorsey & His Clambake Seven', 'Tommy Dorsey']"
159,['Mildred Bailey']
160,['Art Jarrett']
161,['The Charleston Chasers']
162,"['Tommy Dorsey', 'Elvis Presley']"
163,['A Jam Session At Victor']
164,"['""Test for Victor Young""']"
165,['Joe Turner & His Memphis Men']
166,"['Tommy Dorsey & His Clambake Seven', 'Edythe Wright']"
167,['Sophie Tucker']
168,['Sarah Martin']
169,['Pauline Carton']
170,['Georges Thill']
171,['Don Redman and His Orchestra']
172,['Cab Calloway & His Orchestra']
173,['Old Grape God']
174,['Yvonne George']
175,"[""Henderson's Roseland Orchestra""]"
176,['René Koval']
177,['Patrick Hunt']
178,"['Francisco Canaro', 'Azucena Maizani']"
179,['Andrée Turcy']
180,['Marguerite Deval']
181,['Cliff Edwards']
182,['The Hot Air-Men']
183,['American Concert Orchestra']
184,['Clarence Williams & His Orchestra']
185,['Annette Hanshaw']
186,['Frankie Half-Pint Jaxon & His Hot Shots']
187,['Fats Waller']
188,"['Jelly Roll Morton', 'Johnny Dodds']"
189,"['Louis Armstrong & His Hot Seven', 'Carroll Dickerson Orchestra']"
190,['Uncle Bunt Stephens']
191,['Future Rapper']
192,['Louisiana Sugar Babes']
193,['Marbella Corella']
194,['George Gershwin']
195,"['Fats Waller, His Rhythm and Orchestra']"
196,['Jack Teagarden And His Orchestra']
197,"['Bunny Berigan', 'Tommy Dorsey', 'Fats Waller', 'Dick McDonough', 'George Wettling']"
198,['Jelly Roll Morton & His Red Hot Peppers']
199,"['Jelly Roll Morton & His Red Hot Peppers', 'Jelly Roll Morton']"
200,"['George Gershwin', 'P. G. Wodehouse', 'Barbara Ruick', 'Lehman Engel']"
201,"['George Gershwin', 'P. G. Wodehouse', 'Oh, Kay! Orchestra (1955)', 'Cy Walter', 'Bernard Leighton', 'Lehman Engel']"
202,"['Georgette Heyer', 'Irina Salkow']"
203,"['George Gershwin', 'P. G. Wodehouse', 'Allen Case', 'Oh, Kay! Ensemble (1955)', 'Lehman Engel']"
204,['Эрнест Хемингуэй']
205,['Iván Rolón']
206,['Max Roge']
207,['Ted Weems & His Orchestra']
208,['Bix Beiderbecke']
209,"['Jimmie Rodgers', ""Bob Sawyer's Jazz Band""]"
210,"['Broadway Bell Hops', 'Bix Beiderbecke', 'Frank Trumbauer']"
211,"['Frankie Trumbauer & His Orchestra', 'Bix Beiderbecke']"
212,['Ella Fitzgerald']
213,"['Frank Trumbauer & His Orchestra', 'Bix Beiderbecke', 'Eddie Lang']"
214,"['Frankie Trumbauer', 'Bix Beiderbecke', 'Eddie Lang']"
215,['Dock Boggs']
216,"['Frankie Trumbauer & His Orchestra', 'Bix Beiderbecke', 'Eddie Lang']"
217,"['Benny Meroff & His Orchestra', 'Bix Beiderbecke']"
218,"['Baron Lee', 'The Blue Rhythm Band']"
219,"['Bix Beiderbecke', 'The Wolverines']"
220,"['Bill ""Bojangles"" Robinson', 'Don Redman']"
221,['Tito Schipa']
222,['Paul Bridgwater']
223,['Sexteto Habanero']
224,['Damia']
225,['Marty Murray']
226,"['Francisco Canaro', 'Agustín Irusta']"
227,"['Orchestre Piero Coppola', 'José De Trévi', 'Lucy Perelli', 'Piero Coppola']"
228,"['Paul Mania', 'Heinrich Schlusnus', 'Johann Heidenreich']"
229,['Numba 9']
230,"['Orchestre Piero Coppola', 'Piero Coppola']"
231,"['Richard Wagner', 'Mitglieder der Staatskapelle Berlin', 'Max von Schillings']"
232,['Count Basie & His Orchestra; Vocal by Jimmy Rushing']
233,"['Orchestre Piero Coppola', 'Ch&#339;ur Piero Coppola', 'Piero Coppola']"
234,['Francisco Canaro Jazz Band']
235,"['Ludwig van Beethoven', 'Staatskapelle Berlin', 'Otto Klemperer']"
236,['Memphis Minnie']
237,"['Pietro Mascagni', 'Staatskapelle Berlin']"
238,['Henry Laverne']
239,"['Orchestre Piero Coppola', 'Piero Coppola', 'José De Trévi', 'Lucy Perelli']"
240,"['Orchestre Piero Coppola', 'José De Trévi', 'Piero Coppola']"
241,"['Giuseppe Verdi', 'Staatskapelle Berlin', 'Pietro Mascagni']"
242,"['Why Not', 'Paul Bridgwater']"
243,"['Orchestre Piero Coppola', 'Piero Coppola', 'Lucy Perelli', 'Louis Musy']"
244,['Claude Hopkins and His Orchestra']
245,['Biscot']
246,"['Paul Bridgwater', 'Geoff Horgan']"
247,"['Francisco Canaro', 'Luis Scalon']"
