,artists
11032,['Sridhar Parsekar']
11033,"['Giacomo Puccini', 'Richard Tucker', 'Bidu Sayão', 'Giuseppe Antonicelli', 'Metropolitan Opera Orchestra']"
11034,"['Moshe Wilensky', 'Richard Tucker', 'Sholom Secunda']"
11035,"['Mukesh', 'Shamshad Begum']"
11036,"['Igor Stravinsky', 'Woody Herman Orchestra']"
11037,"['Pierre Perrin', 'Bourvil']"
11038,['Bluegrass Champs']
11039,['Smt. Vishnilal']
11040,"['Shamshad Begum', 'Mohantara Talpade', 'Lata Mangeshkar']"
11041,['Pithapuram Nageswara Rao']
11042,"['Giacomo Puccini', 'Plácido Domingo', 'Kiri Te Kanawa', 'Lorin Maazel', 'London Symphony Orchestra']"
11043,['Georges Van Parys']
11044,"['A. R. Oza', 'Amirbai Karnataki']"
11045,"['Jharna Nanrangi', 'Badil']"
11046,"['Malati Pande', 'Sudhir Phadke']"
11047,"['Amirbai Karnataki', 'Dilip Kumar']"
11048,['Ashoketaru Banerjee']
11049,['Girdhar']
11050,"['Karen Khachaturian', 'Jascha Heifetz']"
11051,"['Wolfgang Amadeus Mozart', 'Budapest String Quartet']"
11052,"['Saroj', 'Agha']"
11053,"['Igor Stravinsky', 'Leopold Stokowski']"
11054,"['Jean Marion', 'Bourvil']"
11055,"['Giacomo Puccini', 'Gillian Knight', 'Renata Scotto', 'Lorin Maazel', 'Philharmonia Orchestra']"
11056,"['Suraiya', 'Mukesh']"
11057,"['Igor Stravinsky', 'Robert Craft', 'Dorothy Remsen', 'Arthur Gleghorn', 'Kalman Bloch']"
11058,['Paro']
11059,['René Cloërec']
11060,"['Wolfgang Amadeus Mozart', 'Budapest String Quartet', 'Walter Trampler']"
11061,"['Igor Stravinsky', 'Adrienne Albert', 'Robert Craft']"
11062,['Bharat Vyas']
11063,"['Robert Schumann', 'NBC Symphony Orchestra', 'Bruno Walter']"
11064,"['Manuel de Falla', 'Fritz Reiner', 'Pittsburgh Symphony Orchestra']"
11065,"['Issachar Miron', 'Yechiel Haggiz', 'Julius Grossman', 'Richard Tucker', 'Sholom Secunda']"
11066,"['Shamshad Begum', 'G. M. Durrani']"
11067,"['Lata Mangeshkar', 'Geeta Dutt']"
11068,['B.S. Nanji']
11069,['Müzeyyen Senar']
11070,['Μάνθος Άκος']
11071,"['Igor Stravinsky', 'Seiji Ozawa']"
11072,"['Johann Sebastian Bach', 'Daniel Saidenberg', 'Columbia Broadcasting Concert Orchestra']"
11073,"['Johann Sebastian Bach', 'Igor Stravinsky']"
11074,['Vinod Kumar']
11075,"['Meena Kapoor', 'Ninu Mazumder']"
11076,['Jayamala Shiledar']
11077,"['Johannes Brahms', 'Jascha Heifetz']"
11078,"['George Frideric Handel', 'Jascha Heifetz']"
11079,"['Asha Bhosle', 'Manna Dey']"
11080,"['Uma Devi', 'Moti Bai']"
11081,"['Maurice Ravel', 'Philippe Entremont']"
11082,['Dorothy Loudon']
11083,"['Francis Poulenc', 'Philippe Entremont']"
11084,"['Erik Satie', 'Jennie Tourel', 'George Reeves']"
11085,"['Giuseppe Verdi', 'James Levine', 'Metropolitan Opera Chorus', 'Metropolitan Opera Orchestra']"
11086,"['Cole Porter', 'Curtain Going Up Orchestra', 'Lehman Engel', 'Lehman Engel Orchestra']"
11087,['Aaron Copland']
11088,"['Georges Bizet', 'Leonard Bernstein', 'New York Philharmonic']"
11089,"['Pietro Mascagni', 'Thomas Schippers', 'Columbia Symphony Orchestra']"
11090,"['Cole Porter', 'Alfred Drake', 'Patricia Morison', 'Kiss Me, Kate Ensemble', 'Pembroke Davenport', 'Original Broadway Cast Orchestra']"
11091,"['Wolfgang Amadeus Mozart', 'Eugene Kohn', ""Les Musiciens de l'Orchestre de l'Opéra de Paris-Bastille"", 'Bastille Opera Orchestra']"
11092,"['George Gershwin', 'Mary Martin', 'Lehman Engel']"
11093,"['Bing Crosby', 'The Chickadees', 'John Scott Trotter & His Orchestra']"
11094,"['Friedrich von Flotow', 'Richard Tucker', 'Emil Cooper', 'Metropolitan Opera Orchestra']"
11095,"['Lata Mangeshkar', 'Premlata']"
11096,"['Julie Andrews', 'Jon Cypher']"
11097,"['Emmanuel Chabrier', 'Philippe Entremont']"
11098,"['Irving Aaronson', 'Paul Francis Webster', 'Mario Lanza', 'Constantine Callinicos']"
11099,['Judy Holliday']
11100,"['Kurt Weill', 'Polyna Stoska', 'Maurice Abravanel']"
11101,"['George Gershwin', 'Girl Crazy Orchestra (1952)', 'Lehman Engel']"
11102,"['Kurt Weill', 'Hope Emerson', 'Remo Lota', 'Polyna Stoska', 'Helen Arden', 'Street Scene Orchestra', 'Maurice Abravanel']"
11103,"['Kurt Weill', 'Don Saxon', 'Anne Jeffreys', 'Maurice Abravanel']"
11104,"['Lata Mangeshkar', 'Mohammed Rafi', 'G. M. Durrani']"
11105,"['Jay Blackton', 'Laurence Guittard', 'Christine Andreas']"
11106,"['Bing Crosby', 'Victor Young & His Orchestra']"
11107,['Shelby Lynne']
11108,['Jose Gamboa Ceballos Y Su Orquesta']
11109,"['Male Sioux singer with gourd rattle, water-drum player']"
11110,"['Giacomo Puccini', 'José Carreras', 'Michael Tilson Thomas']"
11111,"['Sarah Vaughan', 'Percy Faith & His Orchestra']"
11112,"['Gioachino Rossini', 'Ion Marin', 'Wiener Symphoniker']"
11113,['Noe Fajardo Y Su Orquesta']
11114,"['Alexander Borodin', 'Emil Tchakarov', 'Sofia Festival Orchestra']"
11115,['Lee Remick']
11116,"['Traditional', 'Mario Lanza']"
11117,"['Bing Crosby', 'Matty Malneck & His Orchestra']"
11118,"['Nicholas Brodszky', 'Mario Lanza', 'Ray Sinatra']"
11119,"['Kurt Weill', 'Anne Jeffreys', 'Brian Sullivan', 'Maurice Abravanel']"
11120,"['Vincenzo Bellini', 'Maria Callas', 'Arturo Basile', 'Orchestra Sinfonica Di Torino Della Rai']"
11121,"['Mukesh', 'Geeta Dutt']"
11122,['Attila the Hun']
11123,"['Franz Liszt', 'Arthur Rubinstein', 'Alfred Wallenstein', 'RCA Victor Symphony Orchestra']"
11124,"['Noel Rosa', 'Orlando Silva']"
11125,['Javanese gamelan ensemble']
11126,"['Sergei Rachmaninoff', 'Arthur Rubinstein', 'Vladimir Golschmann']"
11127,['The Four Lads; Orchestra under the direction of Neal Hefti']
11128,['Ogden Nash']
11129,"['Felix Mendelssohn', 'Gregor Piatigorsky']"
11130,"['Leonard Bernstein', 'New York City Ballet Orchestra']"
11131,['Mario Abbate']
11132,"['Leonard Bernstein', 'Ben Steinberg', 'Peter Pan Cast Orchestra', 'Jean Arthur']"
11133,['Young Bongili women beating out bananas']
11134,"['Noel Rosa', 'Francisco Alves', 'Castro Barbosa']"
11135,"['Charles Aznavour', 'Pierre Roche']"
11136,['W. H. Auden']
11137,"['Noel Rosa', 'Glauco Vianna']"
11138,"['Jule Styne', 'Carol Channing', 'Jack McCauley', 'Gentlemen Prefer Blondes Ensemble', 'Milton Rosenstock']"
11139,['Nikos Gounaris']
11140,"['Leonard Bernstein', 'Lehman Engel', 'Wonderful Town Orchestra (1958)', 'Rosalind Russell']"
11141,"['Rudolf Sieczynski', 'Richard Tucker', 'Franz Allers', 'Columbia Symphony Orchestra']"
11142,"['Shamshad Begum', 'Mukesh', 'S. D. Batish']"
11143,"['Jule Styne', 'Rex Evans', 'Carol Channing', 'Gentlemen Prefer Blondes Ensemble', 'Milton Rosenstock']"
11144,"['Noel Rosa', 'Nuno Roland']"
11145,['Mario Trevi']
11146,"['Noel Rosa', 'Aracy de Almeida']"
11147,['Sandra Hillawi']
11148,['Youth Band GKI RAHA']
11149,"['Georgette Heyer', 'Brigitte Carlsen']"
11150,"['Suraiya', 'Talat Mahmood']"
11151,"[""Y'Anna Crawley""]"
11152,"['Galina Talva', 'Russell Nype', 'Call Me Madam Ensemble']"
11153,['Bill Bonyun']
11154,"['Johann Sebastian Bach', 'Walter Hauck', 'RIAS Kammerorchester', 'Karl Ristenpart']"
11155,"['Stathis Kavouras', 'Giannis Konstantinou', 'Giorgos Papadopoulos', 'Tasos Kostopoulos']"
11156,['Γιώργος Καβούρας']
11157,['Tasia Verra']
11158,['Kostas Karipis']
11159,['Jascha Heifetz']
11160,['Sam Eskin']
11161,"['Mohammed Rafi', 'Lata Mangeshkar']"
11162,"['Georges Guétary', 'Oscar Levant']"
11163,"['Fats Navarro', ""Bud Powell's Modernists""]"
11164,['Vera Hall']
11165,"['John Cage', 'Maro Ajemian']"
11166,['Machito Orchestra']
11167,"['Wynton Kelly', 'Lee Abrams']"
11168,"['Kay Starr', 'Tennessee Ernie Ford']"
11169,"['Arthur Schwartz', 'Marcia Van Dyke', 'Johnny Johnston', 'Jay Blackton']"
11170,"['Johann Sebastian Bach', 'Arturo Toscanini']"
11171,"['Traditional', 'Mario Lanza', 'Constantine Callinicos']"
11172,['Zeki Müren']
11173,"['Sigmund Romberg', 'Mario Lanza', 'Elizabeth Doubleday', 'Constantine Callinicos']"
11174,"['Sigmund Romberg', 'Mario Lanza', 'Constantine Callinicos']"
11175,"['Tennessee Ernie Ford', 'Kay Starr']"
11176,"['Samuel Barber', 'Dietrich Fischer-Dieskau']"
11177,['Unidentified accordion player']
11178,"['Mahendra Kapoor', 'Manhar Udhas', 'Asha Bhosle', 'Dilraj Kaur']"
11179,"['Johannes Brahms', 'Bruno Walter', 'Columbia Symphony Orchestra', 'New York Philharmonic']"
11180,"['Doris Day', 'The Norman Luboff Choir', 'The Buddy Cole Quartet']"
11181,"['Cole Porter', 'Out of This World Orchestra', 'Pembroke Davenport']"
11182,"['Sister Rosetta Tharpe', 'The Rosettes', 'Sam Price Trio']"
11183,"['Alfred Campos', 'Edwin Lobato']"
11184,['Garcilian Pacheco']
11185,"['Franz Schubert', 'Irmgard Seefried', 'Erik Werba']"
11186,"['Franz Joseph Haydn', 'Berliner Philharmoniker', 'Wilhelm Furtwängler']"
11187,"['Ernest Hemingway', 'Christian Brückner']"
11188,['Ensemble']
11189,['Johnny London']
11190,"['Mary Norton', 'Katharina Thalbach']"
11191,"['Camille Saint-Saëns', 'Pablo Casals']"
11192,"['Charlie Chaplin', 'Buster Keaton']"
11193,['Felix Ortega']
11194,"['Andrés Segovia', 'Henry Purcell']"
11195,['Suchitra Mitra']
11196,"['Bohumil Kulínský', 'Dětský sbor Čs. rozhlasu']"
11197,"['Andrés Segovia', 'Jean-Philippe Rameau']"
11198,['Sonny Terry']
11199,"['The Original Broadway Cast Of ""Of Thee I Sing""']"
11200,"['Sonny Terry, Brownie McGhee, and Coyal McMahan']"
11201,['Arvino Martinez']
11202,"['Louis James Alfred Lefébure-Wély', 'George and Madeleine Brown']"
11203,['Sumitra Sen']
11204,"['Sam and Modesto Garcia', 'James Trujillo']"
11205,"['Andrés Segovia', 'John Dowland']"
11206,"['Andrés Segovia', 'Robert de Visée']"
11207,"['Gerry Mulligan', 'Chubby Jackson Big Band']"
11208,"['Male Tzotzil singers, guitarist, harpist']"
11209,"['James Trujillo', 'Sam and Modesto Garcia']"
11210,"['Lupe Rodriguez', 'Vidal Valdez']"
11211,"['Andrés Segovia', 'Franz Joseph Haydn']"
11212,"['Phil Silvers', 'Jack Albertson', 'Lindy Doherty']"
11213,['Jacobo Maestas']
11214,"['Vidal Valdez', 'Lupe Rodriguez']"
11215,['Arthur L. Campa']
11216,"['Tony Burrello', 'Leona Anderson']"
11217,"['Gustav Mahler', 'Julius Patzak', 'Wiener Philharmoniker', 'Bruno Walter']"
11218,"['Franz Schubert', 'Berliner Philharmoniker', 'Wilhelm Furtwängler']"
11219,['Male Yaqui singers with rasping sticks and water drum']
11220,"['Andrés Segovia', 'Johann Jakob Froberger']"
11221,['Mabel Mercer']
11222,['Daniel Lopez']
11223,"['Vincenzo Bellini', 'Maria Callas', 'Giuseppe Di Stefano', 'Piero Campolonghi', 'Robert Silva', 'Tanis Lugo', 'Ignacio Rufino', 'Rosa Rimoch', 'Palacio de Bellas Artes Chorus', 'Palacio de Bellas Artes Orchestra', 'Guido Picco']"
11224,['Andrea McArdle']
11225,"['Eddie Ortiz', 'Librado Leyba']"
11226,"['Edwin Lobato', 'Alfred Campos']"
11227,"['Gabriel Fauré', 'Irma Kolassi', 'André Collard']"
11228,['Abdel Aziz Mahmoud']
11229,['Fabre Duroseau']
11230,"['Richard Strauss', 'Paul Schöffler', 'Annelies Kupper', 'Wiener Philharmoniker', 'Clemens Krauss']"
11231,['Anna Russell']
11232,['Lawson-Haggart Jazz Band']
11233,"['Ludwig van Beethoven', 'Pierre Monteux']"
11234,"['Giuseppe Verdi', 'Mario del Monaco', 'Renata Tebaldi', 'Aldo Protti', 'Dario Caselli', ""Orchestra dell'Accademia Nazionale di Santa Cecilia"", 'Alberto Erede']"
11235,"['Richard Wagner', 'Joseph Keilberth', 'Bayreuth Festival Orchestra']"
11236,"['Giuseppe Verdi', 'Francesco Molinari-Pradelli', 'Giorgio Giorgetti', 'Mario Petri', 'Orchestra Sinfonica di Roma della RAI', 'Walter Monachesi']"
11237,['Fred von Hoerschelmann']
11238,['Original Broadway Cast Of Can-Can']
11239,['Victor Borge']
11240,"['Johannes Brahms', 'Isaac Stern', 'Alexander Schneider', 'Milton Katims', 'Milton Thomas', 'Pablo Casals', 'Madeline Foley']"
11241,"['Amir Khan', 'D. V. Paluskar']"
11242,['Doctor Ross']
11243,"['Blackbirds of 1928 Ensemble (1953)', 'Thelma Carpenter']"
11244,"['Ernest Chausson', 'Jascha Heifetz', 'Izler Solomon', 'RCA Victor Symphony Orchestra']"
11245,"['Ghantasala', 'K. Rani']"
11246,"['Aaron Copland', 'Benny Goodman']"
11247,"['Lou Donaldson', 'Clifford Brown']"
11248,['Wallace House']
11249,['Little Junior Parker']
11250,['Charlie Mariano']
11251,"['Richard Wagner', 'Ludwig Suthaus', 'Dietrich Fischer-Dieskau', 'Chorus of the Royal Opera House, Covent Garden', 'Philharmonia Orchestra', 'Wilhelm Furtwängler']"
11252,['Jimmy Knepper Quintet']
11253,"['Camille Saint-Saëns', 'Eugene Ormandy', 'Philadelphia Orchestra']"
11254,"['Giacomo Puccini', 'Maria Callas', 'Angelo Mercuriali', 'Dario Caselli', 'Coro Del Teatro Alla Scala Di Milano', 'Orchestra Del Teatro Alla Scala, Milano', 'Victor de Sabata']"
11255,"['Richard Wagner', 'Kirsten Flagstad', 'Ludwig Suthaus', 'Blanche Thebom', 'Chorus of the Royal Opera House, Covent Garden', 'Philharmonia Orchestra', 'Wilhelm Furtwängler']"
11256,"['Ludwig van Beethoven', 'Daniel Barenboim', 'London Philharmonic Orchestra', 'James P. Nichols']"
11257,"['Kismet Ensemble', 'Lucy Andonian']"
11258,['Humberto Morales']
11259,"['Giacomo Puccini', 'Maria Callas', 'Giuseppe Di Stefano', 'Orchestra Del Teatro Alla Scala, Milano', 'Victor de Sabata']"
11260,"['Sergei Prokofiev', 'Isaac Stern']"
11261,['Buddy DeFranco']
11262,['Gigi Gryce & His Orchestra']
11263,"['George Edvadovich Conus', 'Jascha Heifetz', 'Izler Solomon']"
11264,"['Helen Forrest', 'Larry Clinton']"
11265,"['Engelbert Humperdinck', 'Munich Philharmonic Orchestra', 'Fritz Lehmann']"
11266,"['Giacomo Puccini', 'Maria Callas', 'Victor de Sabata', 'Orchestra Del Teatro Alla Scala, Milano']"
11267,['Ahmad Zahir']
11268,"['Virginia Gibson', 'Barbara Ames', 'Betty Allan', 'Betty Noyes', 'Marie Vernon']"
11269,"['Robert Shaw Chorale', 'Robert Shaw']"
11270,['Danny Barker']
11271,"['Ludwig van Beethoven', 'Wiener Philharmoniker', 'Wilhelm Furtwängler']"
11272,"['Dean Martin', 'Ron Furmanek', 'Sweet']"
11273,"['Frank Sinatra', 'Doris Day', 'Ken Lane Singers']"
11274,"['John Gustafsen', 'Gene Kelly', 'Van Johnson', 'Paul Roberts', 'MGM Studio Chorus']"
11275,"['Richard Adler', 'Jerry Ross', 'The Pajama Game Ensemble', 'The Original Broadway Cast Of The Pajama Game', 'Hal Hastings']"
11276,"['Richard Strauss', 'Fritz Reiner', 'Chicago Symphony Orchestra']"
11277,['Ferrante & Teicher']
11278,['Paul Barbarin & His New Orleans Jazz Band']
11279,"['Doris Day', 'Buddy Cole & His Orchestra']"
11280,['Jackie Paris']
11281,"[""Cal Tjader's Modern Mambo Quintet""]"
11282,"['Howard Keel', 'Jane Powell']"
11283,"['Andrés Segovia', 'Girolamo Frescobaldi']"
11284,"['Irving Berlin', 'Marilyn Monroe', 'Donald O´Connor', 'Mitzi Gaynor']"
11285,"['Billy Butterfield', 'Margaret Whiting']"
11286,['Art Blakey Quintet']
11287,['Johnny Mercer']
11288,['Gwendolyn Brooks']
11289,"['Richard Adler', 'Jerry Ross', 'Janis Paige', 'John Raitt', 'The Original Broadway Cast Of The Pajama Game']"
11290,"['Béla Bartók', 'Fritz Reiner']"
11291,['Harry James and The Rhythm Section']
11292,"['Wolfgang Amadeus Mozart', 'Franco Calabrese', 'Glyndebourne Festival Orchestra', 'Graziella Sciutti', 'Hugues Cuénod', 'Rise Stevens', 'Sesto Bruscantini', 'Vittorio Gui']"
11293,"['Gwen Verdon', 'Stephen Douglass']"
11294,"['Shannon Bolin', 'Damn Yankees Ensemble']"
11295,"['Wolfgang Amadeus Mozart', 'Franco Calabrese', 'Glyndebourne Festival Orchestra', 'Graziella Sciutti', 'Hugues Cuénod', 'Rise Stevens', 'Vittorio Gui']"
11296,"['Samuel Barber', 'Philadelphia Orchestra', 'Eugene Ormandy']"
11297,['Rusty & Doug Kershaw']
11298,['Wade Hemsworth']
11299,['Wayne Walker']
11300,"['Margaret Whiting', 'Don Costa And His Orchestra']"
11301,"['Wolfgang Amadeus Mozart', 'Franco Calabrese', 'Glyndebourne Festival Orchestra', 'Graziella Sciutti', 'Sena Jurinac', 'Vittorio Gui']"
11302,"['Margaret Whiting', 'Billy Butterfield And His Orchestra']"
11303,['Fred Waring & The Pennsylvanians']
11304,"['Robert Shafer', 'Stephen Douglass']"
11305,"['Wolfgang Amadeus Mozart', 'Glyndebourne Festival Orchestra', 'Graziella Sciutti', 'Sena Jurinac', 'Sesto Bruscantini', 'Vittorio Gui']"
11306,['Ray Walston']
11307,"['Wolfgang Amadeus Mozart', 'Glyndebourne Festival Orchestra', 'Graziella Sciutti', 'Vittorio Gui']"
11308,"['Wolfgang Amadeus Mozart', 'Franco Calabrese', 'Glyndebourne Festival Orchestra', 'Sena Jurinac', 'Vittorio Gui']"
11309,"['Wolfgang Amadeus Mozart', 'Franco Calabrese', 'Glyndebourne Festival Orchestra', 'Graziella Sciutti', 'Gwyn Griffiths', 'Sena Jurinac', 'Sesto Bruscantini', 'Vittorio Gui']"
11310,"['Wolfgang Amadeus Mozart', 'Glyndebourne Festival Orchestra', 'Graziella Sciutti', 'Rise Stevens', 'Sena Jurinac', 'Vittorio Gui']"
11311,"['Wolfgang Amadeus Mozart', 'Franco Calabrese', 'Glyndebourne Festival Orchestra', 'Graziella Sciutti', 'Sena Jurinac', 'Sesto Bruscantini', 'Vittorio Gui']"
11312,"['George L. TeLeaman', 'Lord Alfred Tennyson', 'The Chordettes']"
11313,"['Barbara Cook', ""Original Broadway Cast 'Plain And Fancy'""]"
11314,"['Wolfgang Amadeus Mozart', 'Franco Calabrese', 'Glyndebourne Festival Orchestra', 'Graziella Sciutti', 'Rise Stevens', 'Sena Jurinac', 'Vittorio Gui']"
11315,"['Wolfgang Amadeus Mozart', 'Glyndebourne Festival Orchestra', 'Franco Calabrese', 'Sena Jurinac', 'Vittorio Gui']"
11316,"['Hazel Scott', 'Max Roach', 'Charles Mingus']"
11317,"['Wolfgang Amadeus Mozart', 'Franco Calabrese', 'Glyndebourne Festival Orchestra', 'Graziella Sciutti', 'Hugues Cuénod', 'Ian Wallace', 'Monica Sinclair', 'Sena Jurinac', 'Sesto Bruscantini', 'Vittorio Gui']"
11318,"['Sergei Prokofiev', 'Leonard Bernstein', 'New York Philharmonic']"
11319,"['Wolfgang Amadeus Mozart', 'Kim Borg', 'Margot Guilleaume', 'Maria Reith', 'Diana Eustrati', 'Ernst Haefliger', 'Howard Vandenburg', 'Wilhelm Borchert', 'Siegmar Schneider', 'RIAS-Symphonie-Orchester', 'Ferenc Fricsay', 'RIAS Kammerchor', 'Berlin Motet Choir']"
11320,"['Lefty Frizzell', 'Johnny Bond']"
11321,['Duke Jordan']
11322,['Ralph Burns & His Ensemble']
11323,"['Wolfgang Amadeus Mozart', 'Daniel McCoshan', 'Franco Calabrese', 'Glyndebourne Chorus', 'Graziella Sciutti', 'Gwyn Griffiths', 'Hugues Cuénod', 'Ian Wallace', 'Jeannette Sinclair', 'Monica Sinclair', 'Rise Stevens', 'Sena Jurinac', 'Sesto Bruscantini', 'Vittorio Gui']"
11324,"['Billy Butterfield And His Orchestra', 'Margaret Whiting']"
11325,"['Jimmie Komack', 'Nathaniel Frey', 'Damn Yankees Ensemble']"
11326,"['Stan Getz', 'Dizzy Gillespie']"
11327,"['Antonín Dvořák', 'Wiener Philharmoniker', 'Rafael Kubelik']"
11328,"['Wolfgang Amadeus Mozart', 'Franco Calabrese', 'Glyndebourne Festival Orchestra', 'Graziella Sciutti', 'Vittorio Gui']"
11329,"['Hazel Scott', 'Charles Mingus', 'Max Roach']"
11330,['Gigi Gryce']
11331,"['Geeta Dutt', 'Manna Dey']"
11332,"['Wolfgang Amadeus Mozart', 'Franco Calabrese', 'Glyndebourne Festival Orchestra', 'Vittorio Gui']"
11333,"['Miles Davis', 'Red Garland']"
11334,"['Shannon Bolin', 'Stephen Douglass']"
11335,"['Wolfgang Amadeus Mozart', 'Glyndebourne Festival Orchestra', 'Jeannette Sinclair', 'Vittorio Gui']"
11336,"['J.J. Johnson', 'Kai Winding']"
11337,['Ray Harris']
11338,"['Clifford Brown', 'Max Roach Quintet', 'Sonny Rollins']"
11339,['Machito & His Orchestra']
11340,['Al Hazan']
11341,"['Paul Chambers', 'John Coltrane']"
11342,"['Bing Crosby', 'Buddy Bregman Orchestra']"
11343,"['Goddard Lieberson', 'Rex Harrison', 'Julie Andrews', 'Franz Allers', 'Alan Jay Lerner']"
11344,['Johnny Hartman']
11345,['Moondog']
11346,"['Giuseppe Verdi', 'Giuseppe Di Stefano', 'Nicola Zaccaria', 'Tito Gobbi', 'Orchestra Del Teatro Alla Scala, Milano', 'Tullio Serafin', 'Orchestra Del Teatro Alla Scala Di Milan']"
11347,"['Frederick Loewe', 'Julie Andrews', 'My Fair Lady Ensemble (1959)', 'Franz Allers', 'Cyril Ornadel']"
11348,"['Shamshad Begum', 'Asha Bhosle', 'Mohammed Rafi']"
11349,['The Norman Luboff Choir']
11350,['Ravi Shankar']
11351,['Red Garland Trio']
11352,"['Frederick Loewe', 'Leonard Weir', 'Franz Allers', 'Cyril Ornadel']"
11353,"['Richard Strauss', 'Glenn Gould']"
11354,['Miles Davis Sextet']
11355,"['Goddard Lieberson', 'Alan Jay Lerner', 'Frederick Loewe']"
11356,"['Judy Holliday', 'Bells Are Ringing Ensemble']"
11357,['Spike Jones']
11358,"['Count Basie', 'Joe Williams', 'Ella Fitzgerald']"
11359,"['Barney Kessel', 'Ray Brown', 'Shelly Manne']"
11360,"['Patsy Cline', 'Anita Kerr Singers']"
11361,"['Miles Davis', 'Gil Evans']"
11362,"['Lula Queiroga', 'Paulinho Moska']"
11363,['The Ben Webster Quintet']
11364,"['Leonard Bernstein', 'West Side Story Ensemble', 'Max Goberman', 'West Side Story Original Broadway Cast']"
11365,['Benny Golson Sextet']
11366,"['Leonard Bernstein', 'Carol Lawrence', 'Carmen Gutierrez', 'Marilyn Cooper', 'Elizabeth Taylor', 'West Side Story Original Broadway Cast']"
11367,"['Chet Baker', 'Art Pepper']"
11368,"['Nelson Cavaquinho', 'Alcides Caminha', 'Paulinho Moska']"
11369,"['Johnny Mercer', 'Jo Stafford']"
11370,"['Leonard Bernstein', 'Carol Lawrence', 'Larry Kert', 'West Side Story Original Broadway Cast']"
11371,"['Sammy Davis Jr.', 'Carmen McRae']"
11372,"['Lata Mangeshkar', 'Meena Khadikar', 'Usha Mangeshkar']"
11373,"['Geraldo Pereira', 'Paulinho Moska']"
11374,['Jimmy Giuffre']
11375,"['Thelonious Monk', 'Gerry Mulligan', 'Wilbur Ware', 'Shadow Wilson']"
11376,"['Johnny Mercer & The Pied Pipers', 'Paul Weston And His Orchestra']"
11377,['Gene Krupa']
11378,"[""Anita O'Day"", 'Marty Paich & His Orchestra']"
11379,"['Giacomo Puccini', 'Maria Callas', 'Giuseppe Di Stefano', 'Orchestra Del Teatro Alla Scala, Milano', 'Antonino Votto', 'Orchestra Del Teatro Alla Scala Di Milan']"
11380,"['Hector Berlioz', 'Charles Münch']"
11381,"['Aram Khachaturian', 'Arthur Fiedler']"
11382,"['Emmanuel Chabrier', 'London Symphony Orchestra', 'Ataúlfo Argenta']"
11383,['Chuck Willis']
11384,"['Ludwig van Beethoven', 'Bruno Walter', 'Columbia Symphony Orchestra']"
11385,"[""Anita O'Day"", 'Russ Garcia and His Orchestra']"
11386,"['Maurice Chevalier', 'Hermione Gingold']"
11387,"['Cortijo Y Su Combo', 'Ismael Rivera']"
11388,"['Ludwig van Beethoven', 'Arthur Rubinstein', 'Josef Krips', 'Symphony Of The Air']"
11389,"['Billie Holiday', 'The Stardusters']"
11390,['Dutch Swing College Band']
11391,"['Giacomo Puccini', 'Maria Callas', 'Giuseppe Di Stefano', 'Rolando Panerai', 'Manuel Spatafora', 'Nicola Zaccaria', 'Antonino Votto', 'Orchestra Del Teatro Alla Scala, Milano', 'Orchestra Del Teatro Alla Scala Di Milan']"
11392,['Booker Little']
11393,"['Stan Getz', 'Chet Baker']"
11394,"['Maurice Chevalier', 'MGM Studio Chorus']"
11395,"['Billie Holiday', 'Toots Camarata & His Orchestra']"
11396,['Mighty Sparrow']
11397,"['George Frideric Handel', 'Mormon Tabernacle Choir', 'Eugene Ormandy', 'Philadelphia Orchestra']"
11398,"['Tony Bennett', 'Count Basie', 'Benny Powell', 'Ralph Sharon', 'Sonny Payne', 'Joe Newman', 'Snookey Young', 'Thad Jones', 'Wendell Culley', 'Charlie Fowlkes', 'Marshall Royal', 'Teddy Reig']"
11399,['Howard Roberts']
11400,"['Frank Churchill', 'Mormon Tabernacle Choir', 'Jerold D. Ottley', 'Columbia Symphony Orchestra']"
11401,"['Reinhold Moritzewitsch Glière', 'Eugene Ormandy', 'Philadelphia Orchestra']"
11402,['Horace Silver Quintet']
11403,"['Peggy Lee', 'Sy Oliver & His Orchestra']"
11404,"['Dmitri Shostakovich', 'Leonard Bernstein', 'New York Philharmonic']"
11405,"['Amilcare Ponchielli', 'Philadelphia Orchestra', 'Eugene Ormandy']"
11406,"['Jule Styne', 'Ethel Merman', 'Milton Rosenstock']"
11407,"['The Clancy Brothers', 'Tommy Makem']"
11408,"['Ray Conniff', 'Billy Butterfield']"
11409,['Michel Legrand']
11410,"['Annie Ross', 'Gerry Mulligan Quartet']"
11411,['The New Lost City Ramblers']
11412,"['Art Pepper', 'Sonny Redd']"
11413,['The Three Stooges']
11414,"['Miles Davis', 'Modern Jazz Giants']"
11415,"['John Coltrane', 'Paul Quinichette']"
11416,['The Cannonball Adderley Quintet']
11417,"['George Careless', 'Alexander Schreiner', 'Frank Asper', 'Mormon Tabernacle Choir', 'Richard P. Condie']"
11418,"['Anonymous', 'Benedictine Monks of the Abbey of St. Maurice & St. Maur, Clevaux']"
11419,['Lou Monte']
11420,"['Frederick Loewe', 'Julie Andrews', 'Bruce Yarnell', 'James Gannon', 'John Cullum', 'Franz Allers']"
11421,"['Frederick Loewe', 'Julie Andrews', 'Franz Allers']"
11422,"['Frederick Loewe', 'The Camelot Orchestra', 'Franz Allers']"
