,endTime,artistName,trackName,msPlayed,count
2727,2022-06-09 21:44,Post Malone,One Right Now (with The Weeknd),53992,1
2728,2022-06-09 21:48,L.A.B.,In the Air,252680,1
2729,2022-06-09 21:51,Summer Walker,CPR,203240,1
2730,2022-06-09 21:52,Adele,Hometown Glory,44550,1
2731,2022-06-09 21:54,The Teskey Brothers,Pain and Misery,117300,1
2732,2022-06-09 21:57,Leon Bridges,Coming Home,0,1
2733,2022-06-09 21:57,Pinegrove,Moment,190853,1
2734,2022-06-09 21:59,Jazmine Sullivan,On It,73520,1
2735,2022-06-09 22:00,Summer Walker,Session 32,98026,1
2736,2022-06-09 22:03,UMI,Remember Me,183953,1
2737,2022-06-09 22:03,Adele,I Drink Wine,1060,1
2738,2022-06-09 22:08,Lake Street Dive,I Want You Back,259266,1
2739,2022-06-09 22:12,Wizkid,Essence (feat. Tems),248040,1
2740,2022-06-09 22:14,SiR,You Can't Save Me,151873,1
2741,2022-06-10 23:09,MEDUZA,Lose Control,94510,1
2742,2022-06-10 23:10,BTS,Yet To Come,21817,1
2743,2022-06-10 23:10,MEDUZA,Lose Control,24422,1
2744,2022-06-10 23:10,MEDUZA,Lose Control,30800,1
2745,2022-06-10 23:14,MEDUZA,Lose Control,99704,1
2746,2022-06-10 23:18,Post Malone,One Right Now (with The Weeknd),193506,1
2747,2022-06-10 23:22,L.A.B.,In the Air,252680,1
2748,2022-06-10 23:25,Summer Walker,CPR,203240,1
2749,2022-06-10 23:26,Adele,Hometown Glory,44473,1
2750,2022-06-10 23:30,The Teskey Brothers,Pain and Misery,218780,1
2751,2022-06-10 23:34,Wizkid,Essence (feat. Tems),248040,1
2752,2022-06-10 23:37,SiR,You Can't Save Me,174946,1
2753,2022-06-10 23:40,Teyana Taylor,Gonna Love Me,160613,1
2754,2022-06-10 23:40,Bobby Caldwell,What You Won't Do for Love,1440,1
2755,2022-06-10 23:44,emawk,Later,270708,1
2756,2022-06-10 23:48,The Dip,Atlas,227680,1
2757,2022-06-10 23:52,Lake Street Dive,Better Than,215880,1
2758,2022-06-10 23:56,Pinegrove,The Alarmist,241920,1
2759,2022-06-10 23:59,Victoria Monét,Coastin’,175319,1
2760,2022-06-11 00:01,The Supremes,Where Did Our Love Go,153333,1
2761,2022-06-11 00:04,rum.gold,Waiting For (feat. Jamila Woods),200214,1
2762,2022-06-11 00:06,Sam Cooke,Bring It On Home to Me,111274,1
2763,2022-06-11 00:36,Chris Stapleton,Tennessee Whiskey,293294,1
2764,2022-06-11 00:37,Chris Stapleton,Fire Away,65691,1
2765,2022-06-11 00:47,Allen Stone,Consider Me,59577,1
2766,2022-06-11 17:56,Kate Bush,Running Up That Hill (A Deal With God) - 2018 Remaster,300212,1
2767,2022-06-11 18:09,Kate Bush,Cloudbusting - 2018 Remaster,246971,1
