,endTime,artistName,trackName,msPlayed,count,artist_id,genres,artist_popularity,followers,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3172,2022-08-01 01:06,Beyoncé,COZY,209866,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,0mKGwFMHzTprtS2vpR3b6s,0.556,0.63,7.0,-8.15,1.0,0.102,0.000828,0.00468,0.155,0.367,149.147,210372.0,5.0
3173,2022-08-01 01:10,Beyoncé,ALIEN SUPERSTAR,215298,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,1Hohk6AufHZOrrhMXZppax,0.545,0.641,10.0,-6.398,0.0,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,215460.0,4.0
3174,2022-08-01 01:14,Beyoncé,CUFF IT,225200,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,1xzi1Jcr7mEi9K2RfzLOqS,0.78,0.689,7.0,-5.668,1.0,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,225389.0,4.0
3175,2022-08-01 01:16,Beyoncé,ENERGY (feat. Beam),116464,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,0314PeD1sQNonfVWix3B2K,0.903,0.519,1.0,-9.151,1.0,0.26,0.281,0.000106,0.155,0.587,114.991,116727.0,4.0
3176,2022-08-01 01:16,Beyoncé,BREAK MY SOUL,3357,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,5pyoxDZ1PX0KxBxiRVxA4U,0.693,0.887,1.0,-5.039,0.0,0.0795,0.0581,2.71e-06,0.27,0.864,114.942,278282.0,4.0
3177,2022-08-01 01:19,Beyoncé,CHURCH GIRL,224274,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,2mqTtvbKxH7SoEQ2oGAnsA,0.792,0.919,2.0,-5.688,1.0,0.276,0.0381,5.1e-06,0.368,0.22,92.028,224473.0,4.0
3178,2022-08-01 01:24,Beyoncé,PLASTIC OFF THE SOFA,254030,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,6ufcuVInt0ocHrUimDjGlb,0.618,0.712,1.0,-8.246,1.0,0.114,0.14,4.53e-06,0.575,0.305,97.057,254319.0,4.0
3179,2022-08-01 01:31,Beyoncé,VIRGO'S GROOVE,368610,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,0Fl4eWzVaMUOdXcOrj6F1q,0.683,0.85,11.0,-5.042,0.0,0.0699,0.0781,1.09e-06,0.741,0.598,107.988,368758.0,4.0
3180,2022-08-01 01:34,Beyoncé,MOVE (feat. Grace Jones & Tems),203211,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,5YLGlPYkZBDXieMwzVve7g,0.876,0.628,1.0,-6.595,1.0,0.0935,0.0165,0.0339,0.0938,0.809,118.028,203383.0,4.0
3181,2022-08-01 01:38,Beyoncé,HEATED,259815,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,1w7cgGZR86yWz1pA2puVJD,0.785,0.732,1.0,-5.724,1.0,0.164,0.0636,0.000807,0.265,0.496,110.952,260771.0,4.0
